日期,收市,開市,高,低,成交量,升跌（%）
2021年10月2日,"47,666.90","48,147.20","48,306.90","47,451.70",39.82K,-1.00%
2021年10月3日,"48,200.10","47,665.40","49,165.20","47,123.00",42.41K,1.12%
2021年10月4日,"49,227.30","48,200.40","49,481.70","46,958.60",66.92K,2.13%
2021年10月5日,"51,469.30","49,229.50","51,872.40","49,060.10",76.63K,4.55%
2021年10月6日,"55,323.20","51,470.00","55,676.10","50,439.50",116.26K,7.49%
2021年10月7日,"53,783.90","55,325.20","55,325.60","53,476.40",75.68K,-2.78%
2021年10月8日,"53,914.70","53,785.50","55,977.90","53,659.30",64.05K,0.24%
2021年10月9日,"54,942.50","53,924.10","55,430.80","53,711.70",64.65K,1.91%
2021年10月10日,"54,687.70","54,942.50","56,432.20","54,100.80",104.43K,-0.46%
2021年10月11日,"57,477.30","54,686.90","57,814.10","54,457.80",73.84K,5.10%
2021年10月12日,"56,015.90","57,480.60","57,635.70","54,155.40",74.85K,-2.54%
2021年10月13日,"57,380.10","56,014.50","57,697.40","54,314.40",73.62K,2.44%
2021年10月14日,"57,345.80","57,370.40","58,506.50","56,866.80",59.84K,-0.06%
2021年10月15日,"61,672.50","57,348.20","62,892.80","56,874.80",121.48K,7.54%
2021年10月16日,"60,861.10","61,669.20","62,329.20","60,161.90",49.93K,-1.32%
2021年10月17日,"61,527.50","60,865.50","61,651.40","59,143.40",53.39K,1.09%
2021年10月18日,"62,056.30","61,525.80","62,623.60","60,026.90",80.15K,0.86%
2021年10月19日,"64,278.50","62,030.20","64,454.00","61,451.00",80.16K,3.58%
2021年10月20日,"65,979.10","64,276.90","66,967.10","63,543.70",79.87K,2.65%
2021年10月21日,"62,210.20","66,004.60","66,616.90","62,092.10",105.38K,-5.71%
2021年10月22日,"60,690.30","62,200.80","63,699.70","60,055.70",75.69K,-2.44%
2021年10月23日,"61,312.50","60,693.20","61,728.70","59,738.30",37.05K,1.03%
2021年10月24日,"60,866.50","61,308.20","61,469.90","59,523.70",42.67K,-0.73%
2021年10月25日,"63,067.00","60,864.30","63,694.80","60,655.80",51.06K,3.62%
2021年10月26日,"60,310.80","63,067.50","63,275.10","59,907.30",57.13K,-4.37%
2021年10月27日,"58,438.10","60,312.50","61,452.90","58,112.60",88.11K,-3.11%
2021年10月28日,"60,582.50","58,437.20","62,251.30","58,128.10",88.47K,3.67%
2021年10月29日,"62,242.80","60,579.90","62,952.20","60,322.20",63.39K,2.74%
2021年10月30日,"61,840.10","62,245.00","62,338.50","60,786.00",40.51K,-0.65%
2021年10月31日,"61,309.60","61,842.20","62,393.70","60,005.70",50.06K,-0.86%
2021年11月1日,"60,915.30","61,310.10","62,430.10","59,612.70",61.21K,-0.64%
2021年11月2日,"63,221.70","60,912.20","64,256.40","60,651.50",65.26K,3.79%
2021年11月3日,"62,918.50","63,223.50","63,508.60","60,883.00",61.05K,-0.48%
2021年11月4日,"61,412.60","62,915.40","63,077.60","60,742.90",49.91K,-2.39%
2021年11月5日,"60,974.30","61,411.50","62,560.30","60,742.40",44.46K,-0.71%
2021年11月6日,"61,483.90","60,973.20","61,543.20","60,093.60",34.89K,0.84%
2021年11月7日,"63,273.20","61,483.80","63,273.20","61,347.20",34.34K,2.91%
2021年11月8日,"67,527.90","63,276.40","67,763.30","63,276.40",81.08K,6.72%
2021年11月9日,"66,904.40","67,528.70","68,493.30","66,334.90",66.13K,-0.92%
2021年11月10日,"64,932.60","66,942.60","68,990.60","62,951.30",96.21K,-2.95%
2021年11月11日,"64,806.70","64,922.80","65,583.30","64,121.90",50.37K,-0.19%
2021年11月12日,"64,134.50","64,782.60","65,449.70","62,309.70",63.27K,-1.04%
2021年11月13日,"64,398.60","64,133.30","64,906.00","63,381.40",30.34K,0.41%
2021年11月14日,"65,508.20","64,397.20","65,508.20","63,608.30",33.98K,1.72%
2021年11月15日,"63,597.90","65,514.90","66,311.20","63,439.50",53.53K,-2.92%
2021年11月16日,"60,089.10","63,605.10","63,605.60","58,655.90",115.36K,-5.52%
2021年11月17日,"60,367.80","60,074.20","60,814.50","58,531.90",73.93K,0.46%
2021年11月18日,"56,955.30","60,368.20","60,936.90","56,524.40",100.37K,-5.65%
2021年11月19日,"58,083.40","56,908.30","58,335.90","55,626.30",74.44K,1.98%
2021年11月20日,"59,717.60","58,080.80","59,854.60","57,435.30",44.53K,2.81%
2021年11月21日,"58,714.30","59,724.00","60,002.60","58,528.30",40.98K,-1.68%
2021年11月22日,"56,308.80","58,719.70","59,288.30","55,656.80",76.45K,-4.10%
2021年11月23日,"57,573.20","56,304.80","57,855.10","55,542.50",72.48K,2.25%
2021年11月24日,"57,171.70","57,559.40","57,697.40","55,910.60",56.68K,-0.70%
2021年11月25日,"58,935.10","57,167.10","59,387.30","57,029.80",56.79K,3.08%
2021年11月26日,"53,730.90","58,937.30","59,151.10","53,533.50",104.03K,-8.83%
2021年11月27日,"54,765.90","53,747.20","55,280.30","53,654.30",40.71K,1.93%
2021年11月28日,"57,291.50","54,758.00","57,392.30","53,448.30",49.28K,4.61%
2021年11月29日,"57,794.80","57,288.10","58,855.20","56,726.70",58.65K,0.88%
2021年11月30日,"56,882.90","57,795.20","59,174.40","55,936.90",73.66K,-1.58%
2021年12月1日,"57,210.30","56,891.70","59,064.30","56,496.50",66.75K,0.58%
2021年12月2日,"56,496.00","57,207.80","57,377.50","55,807.90",54.94K,-1.25%
2021年12月3日,"53,631.50","56,495.20","57,543.60","52,008.90",89.20K,-5.07%
2021年12月4日,"49,195.20","53,620.70","53,847.20","42,587.80",168.00K,-8.27%
2021年12月5日,"49,405.50","49,196.40","49,689.30","47,797.80",72.03K,0.43%
2021年12月6日,"50,562.10","49,412.10","50,913.30","47,237.90",89.68K,2.34%
2021年12月7日,"50,595.20","50,547.40","51,918.60","50,070.90",56.29K,0.07%
2021年12月8日,"50,473.90","50,596.60","51,204.70","48,700.70",55.59K,-0.24%
2021年12月9日,"47,596.60","50,477.60","50,790.20","47,341.90",58.69K,-5.70%
2021年12月10日,"47,137.20","47,591.70","49,974.80","47,007.10",68.06K,-0.97%
2021年12月11日,"49,314.50","47,138.40","49,487.00","46,834.00",45.23K,4.62%
2021年12月12日,"50,081.00","49,332.50","50,779.20","48,670.50",40.30K,1.55%
2021年12月13日,"46,703.60","50,075.90","50,196.10","45,848.20",80.37K,-6.74%
2021年12月14日,"48,366.50","46,709.80","48,635.00","46,338.30",62.54K,3.56%
2021年12月15日,"48,871.50","48,366.20","49,477.90","46,572.60",80.28K,1.04%
2021年12月16日,"47,628.20","48,876.60","49,387.80","47,543.90",48.20K,-2.54%
2021年12月17日,"46,172.20","47,630.40","47,997.20","45,523.80",67.50K,-3.06%
2021年12月18日,"46,856.20","46,171.80","47,330.20","45,513.40",36.93K,1.48%
2021年12月19日,"46,704.50","46,855.70","48,270.20","46,438.40",44.05K,-0.32%
2021年12月20日,"46,895.20","46,703.40","47,488.90","45,577.30",57.53K,0.41%
2021年12月21日,"48,902.00","46,900.10","49,306.10","46,654.00",57.88K,4.28%
2021年12月22日,"48,599.70","48,898.70","49,540.30","48,449.70",40.89K,-0.62%
2021年12月23日,"50,801.00","48,599.60","51,355.60","48,053.40",56.24K,4.53%
2021年12月24日,"50,786.10","50,807.40","51,795.30","50,428.40",45.97K,-0.03%
2021年12月25日,"50,406.40","50,789.60","51,140.20","50,196.80",26.67K,-0.75%
2021年12月26日,"50,779.90","50,404.00","51,247.00","49,527.00",32.34K,0.74%
2021年12月27日,"50,678.20","50,783.60","52,016.30","50,459.00",43.90K,-0.20%
2021年12月28日,"47,545.20","50,703.40","50,703.80","47,345.70",74.39K,-6.18%
2021年12月29日,"46,461.70","47,548.40","48,121.70","46,127.80",63.92K,-2.28%
2021年12月30日,"47,123.30","46,470.70","47,901.40","46,003.00",60.96K,1.42%
2021年12月31日,"46,219.50","47,123.30","48,553.90","45,693.60",58.18K,-1.92%
2022年1月1日,"47,738.00","46,217.50","47,917.60","46,217.50",31.24K,3.29%
2022年1月2日,"47,311.80","47,738.70","47,944.90","46,718.20",27.02K,-0.89%
2022年1月3日,"46,430.20","47,293.90","47,556.00","45,704.00",41.06K,-1.86%
2022年1月4日,"45,837.30","46,435.70","47,505.40","45,602.10",55.59K,-1.28%
2022年1月5日,"43,425.90","45,833.10","47,019.40","42,535.10",83.74K,-5.26%
2022年1月6日,"43,097.50","43,431.60","43,772.30","42,481.10",63.08K,-0.76%
2022年1月7日,"41,546.70","43,097.90","43,127.70","40,810.00",88.36K,-3.60%
2022年1月8日,"41,672.00","41,551.30","42,304.40","40,574.30",52.54K,0.30%
2022年1月9日,"41,848.30","41,681.20","42,764.40","41,260.90",37.51K,0.42%
2022年1月10日,"41,832.20","41,848.90","42,243.80","39,697.00",85.50K,-0.04%
2022年1月11日,"42,733.20","41,829.10","43,090.20","41,287.60",61.78K,2.15%
2022年1月12日,"43,901.00","42,735.00","44,243.60","42,476.70",53.95K,2.73%
2022年1月13日,"42,560.00","43,900.00","44,404.70","42,337.50",53.42K,-3.05%
2022年1月14日,"43,073.30","42,562.20","43,435.10","41,848.70",50.50K,1.21%
2022年1月15日,"43,097.00","43,073.60","43,777.90","42,586.10",31.44K,0.06%
2022年1月16日,"43,079.10","43,079.20","43,462.00","42,643.30",28.66K,-0.04%
2022年1月17日,"42,209.30","43,080.50","43,179.60","41,559.40",41.44K,-2.02%
2022年1月18日,"42,364.60","42,209.90","42,674.20","41,300.70",47.32K,0.37%
2022年1月19日,"41,677.80","42,365.30","42,558.00","41,160.90",53.77K,-1.62%
2022年1月20日,"40,715.90","41,683.60","43,487.10","40,568.30",65.28K,-2.31%
2022年1月21日,"36,475.50","40,698.10","41,104.60","35,503.90",155.80K,-10.41%
2022年1月22日,"35,075.20","36,467.70","36,749.80","34,116.00",138.09K,-3.84%
2022年1月23日,"36,269.50","35,072.90","36,513.00","34,655.20",70.43K,3.40%
2022年1月24日,"36,686.30","36,268.60","37,424.00","32,985.60",153.77K,1.15%
2022年1月25日,"36,950.60","36,691.30","37,501.80","35,729.30",79.68K,0.72%
2022年1月26日,"36,800.40","36,962.30","38,862.60","36,280.00",107.87K,-0.41%
2022年1月27日,"37,164.30","36,800.10","37,215.40","35,543.20",83.52K,0.99%
2022年1月28日,"37,745.10","37,195.60","37,995.90","36,176.50",69.45K,1.56%
2022年1月29日,"38,170.80","37,736.50","38,663.70","37,350.20",42.77K,1.13%
2022年1月30日,"37,917.70","38,167.50","38,313.30","37,390.60",34.10K,-0.66%
2022年1月31日,"38,498.60","37,923.80","38,701.40","36,672.80",61.27K,1.53%
2022年2月1日,"38,709.70","38,475.60","39,230.00","38,037.90",55.20K,0.55%
2022年2月2日,"36,890.20","38,711.20","38,853.80","36,682.30",53.74K,-4.70%
2022年2月3日,"37,287.80","36,890.20","37,304.30","36,297.30",50.35K,1.08%
2022年2月4日,"41,567.60","37,287.80","41,689.00","37,041.10",95.49K,11.48%
2022年2月5日,"41,412.10","41,566.50","41,899.80","40,963.30",46.32K,-0.37%
2022年2月6日,"42,392.20","41,411.90","42,614.80","41,176.30",31.20K,2.37%
2022年2月7日,"43,833.90","42,385.20","44,468.30","41,695.40",76.60K,3.40%
2022年2月8日,"44,038.20","43,833.90","45,399.80","42,705.00",92.88K,0.47%
2022年2月9日,"44,388.90","44,038.20","44,800.40","43,163.00",50.92K,0.80%
2022年2月10日,"43,521.00","44,388.90","45,755.20","43,242.50",89.69K,-1.96%
2022年2月11日,"42,388.40","43,519.30","43,915.10","42,023.40",69.95K,-2.60%
2022年2月12日,"42,205.20","42,388.40","43,006.40","41,776.80",37.88K,-0.43%
2022年2月13日,"42,061.10","42,205.50","42,725.10","41,880.10",25.88K,-0.34%
2022年2月14日,"42,550.30","42,061.10","42,799.70","41,591.30",53.60K,1.16%
2022年2月15日,"44,544.40","42,550.30","44,722.60","42,460.10",56.34K,4.69%
2022年2月16日,"43,883.60","44,540.90","44,552.90","43,377.60",41.40K,-1.48%
2022年2月17日,"40,552.80","43,885.50","44,167.10","40,103.80",72.63K,-7.59%
2022年2月18日,"40,000.10","40,532.50","40,935.50","39,505.00",64.96K,-1.36%
2022年2月19日,"40,090.30","40,000.10","40,434.30","39,666.60",25.78K,0.23%
2022年2月20日,"38,355.00","40,089.60","40,120.30","38,042.20",47.92K,-4.33%
2022年2月21日,"37,017.70","38,355.00","39,444.10","36,868.90",91.82K,-3.49%
2022年2月22日,"38,248.20","37,018.30","38,414.90","36,399.60",82.75K,3.32%
2022年2月23日,"37,224.60","38,248.20","39,194.50","37,099.50",64.84K,-2.68%
2022年2月24日,"38,339.20","37,250.20","39,351.60","34,357.40",180.47K,2.99%
2022年2月25日,"39,209.60","38,339.20","39,683.70","38,042.60",83.78K,2.27%
2022年2月26日,"39,115.50","39,221.60","40,094.50","38,639.10",41.55K,-0.24%
2022年2月27日,"37,689.10","39,116.60","39,838.50","37,062.30",66.14K,-3.65%
2022年2月28日,"43,188.20","37,707.20","43,977.80","37,458.90",108.07K,14.59%
2022年3月1日,"44,420.30","43,187.20","44,900.50","42,876.60",90.67K,2.85%
2022年3月2日,"43,912.80","44,420.30","45,294.20","43,361.30",80.82K,-1.14%
2022年3月3日,"42,463.00","43,912.80","44,077.20","41,840.80",74.11K,-3.30%
2022年3月4日,"39,142.70","42,463.00","42,848.70","38,594.90",3.21B,-7.82%
2022年3月5日,"39,395.80","39,142.80","39,600.20","38,626.10",1.50B,0.65%
2022年3月6日,"38,403.10","39,396.30","39,668.10","38,115.00",1.93B,-2.52%
2022年3月7日,"38,024.80","38,420.60","39,532.00","37,182.10",3.02B,-0.99%
2022年3月8日,"38,744.80","38,020.60","39,351.50","37,886.60",2.67B,1.89%
2022年3月9日,"41,929.00","38,731.50","42,538.50","38,663.30",3.60B,8.22%
2022年3月10日,"39,416.30","41,933.90","42,029.10","38,603.50",3.62B,-5.99%
2022年3月11日,"38,730.20","39,422.50","40,177.00","38,236.40",2.79B,-1.74%
2022年3月12日,"38,814.30","38,730.20","39,355.30","38,666.50",1.11B,0.22%
2022年3月13日,"37,792.40","38,813.20","39,272.30","37,603.40",1.55B,-2.63%
2022年3月14日,"39,671.10","37,789.50","39,914.30","37,613.60",2.33B,4.97%
2022年3月15日,"39,285.70","39,673.00","39,854.70","38,220.90",2.25B,-0.97%
2022年3月16日,"41,118.70","39,282.50","41,701.60","38,953.20",4.47B,4.67%
2022年3月17日,"40,914.80","41,118.70","41,406.00","40,557.80",1.90B,-0.50%
2022年3月18日,"41,767.80","40,914.60","42,308.40","40,234.80",2.31B,2.08%
2022年3月19日,"42,233.00","41,768.00","42,386.00","41,529.60",224.59M,1.11%
2022年3月20日,"41,276.00","42,241.00","42,301.00","40,922.00",308.45M,-2.27%
2022年3月21日,"41,022.00","41,282.00","41,532.00","40,530.00",406.62M,-0.62%
2022年3月22日,"42,373.00","41,022.00","43,327.90","40,893.00",537.06M,3.29%
2022年3月23日,"42,912.00","42,373.00","43,027.00","41,795.00",433.96M,1.27%
2022年3月24日,"44,013.00","42,911.00","44,251.00","42,658.00",491.66M,2.57%
2022年3月25日,"44,331.00","44,013.00","45,112.00","43,622.00",494.09M,0.72%
2022年3月26日,"44,548.00","44,331.00","44,818.00","44,090.00",196.30M,0.49%
2022年3月27日,"46,859.00","44,542.00","46,947.00","44,445.00",388.79M,5.19%
2022年3月28日,"47,105.00","46,859.00","48,199.00","46,672.00",610.27M,0.52%
2022年3月29日,"47,449.00","47,126.00","48,127.00","47,029.00",478.82M,0.73%
2022年3月30日,"47,075.00","47,449.00","47,714.00","46,601.00",467.76M,-0.79%
2022年3月31日,"45,525.00","47,071.00","47,624.00","45,228.00",520.00M,-3.29%
2022年4月1日,"46,297.00","45,529.00","46,728.00","44,261.00",632.93M,1.70%
2022年4月2日,"45,811.00","46,299.00","47,212.00","45,641.00",345.93M,-1.05%
2022年4月3日,"46,407.00","45,813.00","47,435.00","45,554.00",398.86M,1.30%
2022年4月4日,"46,629.00","46,407.00","46,899.00","45,152.00",446.12M,0.48%
2022年4月5日,"45,506.00","46,614.00","47,201.00","45,388.00",421.11M,-2.41%
2022年4月6日,"43,173.00","45,494.00","45,519.00","43,122.00",649.52M,-5.13%
2022年4月7日,"43,448.00","43,166.00","43,893.00","42,747.00",390.85M,0.64%
2022年4月8日,"42,275.00","43,450.00","43,979.00","42,113.00",467.83M,-2.70%
2022年4月9日,"42,767.00","42,275.00","42,809.00","42,129.00",165.16M,1.16%
2022年4月10日,"42,138.00","42,760.00","43,421.00","41,884.00",255.83M,-1.47%
2022年4月11日,"39,497.00","42,144.00","42,418.00","39,202.00",608.38M,-6.27%
2022年4月12日,"40,078.00","39,507.00","40,678.00","39,265.00",468.27M,1.47%
2022年4月13日,"41,133.00","40,072.00","41,515.00","39,581.00",406.70M,2.63%
2022年4月14日,"39,936.00","41,133.00","41,494.00","39,585.00",294.29M,-2.91%
2022年4月15日,"40,560.00","39,936.00","40,850.00","39,781.00",233.09M,1.56%
2022年4月16日,"40,382.00","40,571.00","40,691.00","40,003.00",151.31M,-0.44%
2022年4月17日,"39,703.00","40,382.00","40,599.00","39,561.00",210.01M,-1.68%
2022年4月18日,"40,803.00","39,700.00","41,095.00","38,577.00",484.26M,2.77%
2022年4月19日,"41,503.00","40,809.00","41,746.00","40,585.00",268.28M,1.72%
2022年4月20日,"41,368.00","41,499.00","42,203.00","40,915.00",382.84M,-0.33%
2022年4月21日,"40,482.00","41,370.00","42,969.00","39,793.00",493.05M,-2.14%
2022年4月22日,"39,709.00","40,487.00","40,792.00","39,200.00",421.30M,-1.91%
2022年4月23日,"39,418.00","39,709.00","39,973.00","39,291.00",190.60M,-0.73%
2022年4月24日,"39,464.00","39,434.00","39,929.00","39,033.00",283.63M,0.12%
2022年4月25日,"40,427.00","39,464.00","40,599.00","38,233.00",654.60M,2.44%
2022年4月26日,"38,113.00","40,443.00","40,770.00","37,708.00",681.47M,-5.72%
2022年4月27日,"39,243.00","38,113.00","39,447.00","37,869.00",426.83M,2.96%
2022年4月28日,"39,748.00","39,243.00","40,382.00","38,888.00",542.39M,1.29%
2022年4月29日,"38,581.00","39,748.00","39,919.00","38,175.00",382.90M,-2.94%
2022年4月30日,"37,650.00","38,590.00","38,776.00","37,596.00",248.22M,-2.41%
2022年5月1日,"38,461.00","37,642.00","38,676.00","37,397.00",276.99M,2.15%
2022年5月2日,"38,514.00","38,472.00","39,134.00","38,061.00",580.79M,0.14%
2022年5月3日,"37,718.00","38,515.00","38,647.00","37,513.00",367.21M,-2.07%
2022年5月4日,"39,688.00","37,717.00","40,021.00","37,660.00",691.49M,5.22%
2022年5月5日,"36,544.00","39,686.00","39,833.00","36,183.00",1.04B,-7.92%
2022年5月6日,"36,009.00","36,540.00","36,646.00","35,267.00",752.84M,-1.46%
2022年5月7日,"35,468.00","36,003.00","36,119.00","34,773.00",288.86M,-1.50%
2022年5月8日,"34,060.00","35,468.00","35,497.00","33,727.00",671.05M,-3.97%
2022年5月9日,"30,095.00","34,041.00","34,227.00","30,095.00",268.09K,-11.64%
2022年5月10日,"31,007.50","30,098.20","32,621.20","29,831.00",235.61K,3.03%
2022年5月11日,"29,068.20","31,008.00","32,113.60","27,835.50",296.90K,-6.25%
2022年5月12日,"28,976.00","29,073.40","30,136.70","26,500.50",309.48K,-0.32%
2022年5月13日,"29,284.40","28,994.30","31,002.70","28,755.00",141.23K,1.06%
2022年5月14日,"30,080.40","29,285.20","30,277.40","28,666.70",70.46K,2.72%
2022年5月15日,"31,308.70","30,078.60","31,383.80","29,499.40",65.44K,4.08%
2022年5月16日,"29,849.00","31,308.30","31,312.40","29,135.80",100.25K,-4.66%
2022年5月17日,"30,437.50","29,856.70","30,720.10","29,484.50",79.63K,1.97%
2022年5月18日,"28,683.70","30,437.50","30,687.90","28,648.10",92.03K,-5.76%
2022年5月19日,"30,305.90","28,700.40","30,525.10","28,682.10",101.38K,5.66%
2022年5月20日,"29,178.60","30,305.90","30,735.10","28,738.50",98.78K,-3.72%
2022年5月21日,"29,434.60","29,188.70","29,623.20","28,953.90",32.27K,0.88%
2022年5月22日,"30,286.60","29,433.00","30,462.00","29,260.10",50.60K,2.89%
2022年5月23日,"29,093.30","30,287.30","30,644.80","28,913.60",92.10K,-3.94%
2022年5月24日,"29,648.70","29,091.60","29,810.80","28,706.10",79.42K,1.91%
2022年5月25日,"29,540.60","29,648.70","30,202.30","29,353.50",78.85K,-0.36%
2022年5月26日,"29,203.50","29,537.90","29,868.90","28,077.90",126.71K,-1.14%
2022年5月27日,"28,601.20","29,194.00","29,377.10","28,282.20",116.41K,-2.06%
2022年5月28日,"29,027.10","28,620.10","29,194.40","28,537.20",43.87K,1.49%
2022年5月29日,"29,465.20","29,027.10","29,556.50","28,838.70",36.87K,1.51%
2022年5月30日,"31,723.30","29,465.20","32,185.60","29,307.20",129.56K,7.66%
2022年5月31日,"31,793.40","31,730.20","32,377.50","31,221.20",86.60K,0.22%
2022年6月1日,"29,798.50","31,793.10","31,969.90","29,396.60",135.09K,-6.27%
2022年6月2日,"30,455.50","29,798.60","30,638.50","29,604.40",81.40K,2.20%
2022年6月3日,"29,700.90","30,455.70","30,674.80","29,330.80",72.13K,-2.48%
2022年6月4日,"29,864.30","29,700.90","29,963.80","29,489.50",33.51K,0.55%
2022年6月5日,"29,913.00","29,865.10","30,166.90","29,539.00",30.33K,0.16%
2022年6月6日,"31,367.60","29,911.20","31,753.40","29,888.60",94.01K,4.86%
2022年6月7日,"31,128.80","31,370.30","31,556.60","29,235.00",140.32K,-0.76%
2022年6月8日,"30,201.60","31,127.20","31,312.10","29,874.80",87.96K,-2.98%
2022年6月9日,"30,097.80","30,202.10","30,691.40","29,953.80",61.72K,-0.34%
2022年6月10日,"29,083.30","30,097.40","30,325.60","28,884.90",104.26K,-3.37%
2022年6月11日,"28,403.40","29,083.30","29,426.60","28,161.80",82.92K,-2.34%
2022年6月12日,"26,606.30","28,404.00","28,534.80","26,606.30",120.02K,-6.33%
2022年6月13日,"22,448.00","26,606.30","26,857.60","22,006.30",379.26K,-15.63%
2022年6月14日,"22,157.30","22,449.10","23,200.30","20,860.90",251.01K,-1.29%
2022年6月15日,"22,577.90","22,137.50","22,754.40","20,125.80",280.41K,1.90%
2022年6月16日,"20,386.60","22,577.90","22,942.10","20,231.10",144.00K,-9.71%
2022年6月17日,"20,444.60","20,391.30","21,315.40","20,244.10",136.27K,0.28%
2022年6月18日,"18,986.50","20,446.40","20,744.70","17,630.50",267.25K,-7.13%
2022年6月19日,"20,577.20","18,983.40","20,763.50","17,983.70",169.39K,8.38%
2022年6月20日,"20,572.30","20,576.90","20,996.80","19,658.80",140.60K,-0.02%
2022年6月21日,"20,720.40","20,571.60","21,689.30","20,371.70",136.32K,0.72%
2022年6月22日,"19,965.80","20,720.20","20,864.30","19,780.20",125.94K,-3.64%
2022年6月23日,"21,100.70","19,967.30","21,189.80","19,907.50",110.70K,5.68%
2022年6月24日,"21,226.90","21,100.90","21,488.70","20,743.90",104.56K,0.60%
2022年6月25日,"21,489.90","21,226.90","21,553.40","20,917.50",66.63K,1.24%
2022年6月26日,"21,043.50","21,489.90","21,837.40","20,989.70",67.21K,-2.08%
2022年6月27日,"20,730.20","21,037.70","21,497.50","20,568.00",84.69K,-1.49%
2022年6月28日,"20,278.00","20,727.90","21,200.20","20,210.50",83.83K,-2.18%
2022年6月29日,"20,111.30","20,278.00","20,415.80","19,880.70",98.97K,-0.82%
2022年6月30日,"19,926.60","20,111.30","20,155.10","18,682.70",127.73K,-0.92%
2022年7月1日,"19,262.90","19,926.60","20,785.60","18,980.10",150.18K,-3.33%
2022年7月2日,"19,243.20","19,275.40","19,425.40","19,006.40",58.57K,-0.10%
2022年7月3日,"19,309.90","19,243.40","19,626.40","18,794.40",65.27K,0.35%
2022年7月4日,"20,215.80","19,310.60","20,303.80","19,052.50",92.79K,4.69%
2022年7月5日,"20,200.60","20,215.80","20,706.90","19,315.40",122.43K,-0.08%
2022年7月6日,"20,561.10","20,180.40","20,654.90","19,785.30",105.24K,1.78%
2022年7月7日,"21,637.80","20,557.90","21,817.80","20,282.70",115.81K,5.24%
2022年7月8日,"21,611.20","21,637.10","22,482.10","21,207.00",439.90K,-0.12%
2022年7月9日,"21,587.50","21,610.40","21,944.10","21,338.40",190.11K,-0.11%
2022年7月10日,"20,847.40","21,587.40","21,599.20","20,689.70",204.68K,-3.43%
2022年7月11日,"19,963.20","20,847.20","20,855.00","19,897.00",160.20K,-4.24%
2022年7月12日,"19,330.90","19,963.20","20,051.70","19,279.60",167.91K,-3.17%
2022年7月13日,"20,250.00","19,331.60","20,250.80","18,942.20",249.38K,4.75%
2022年7月14日,"20,586.00","20,250.00","20,862.20","19,664.90",205.28K,1.66%
2022年7月15日,"20,825.10","20,586.10","21,178.10","20,393.40",164.67K,1.16%
2022年7月16日,"21,209.90","20,825.20","21,561.30","20,484.40",136.89K,1.85%
2022年7月17日,"20,785.60","21,209.80","21,654.40","20,755.20",132.81K,-2.00%
2022年7月18日,"22,525.80","20,785.60","22,714.90","20,770.60",279.72K,8.37%
2022年7月19日,"23,410.20","22,529.30","23,757.30","21,581.80",308.91K,3.93%
2022年7月20日,"23,215.20","23,412.00","24,258.00","22,944.40",281.31K,-0.83%
2022年7月21日,"23,153.00","23,219.90","23,403.80","22,360.20",217.08K,-0.27%
2022年7月22日,"22,675.20","23,150.00","23,741.40","22,524.20",197.54K,-2.06%
2022年7月23日,"22,460.40","22,683.60","22,991.00","21,971.70",137.42K,-0.95%
2022年7月24日,"22,582.10","22,449.80","22,987.90","22,281.30",126.66K,0.54%
2022年7月25日,"21,301.90","22,582.30","22,653.30","21,275.40",206.93K,-5.67%
2022年7月26日,"21,248.70","21,301.60","21,322.30","20,737.30",201.57K,-0.25%
2022年7月27日,"22,958.30","21,248.00","23,027.80","21,047.50",242.66K,8.05%
2022年7月28日,"23,850.00","22,957.70","24,190.50","22,611.60",268.32K,3.88%
2022年7月29日,"23,774.30","23,850.20","24,340.00","23,451.40",221.66K,-0.32%
2022年7月30日,"23,634.20","23,774.20","24,605.30","23,521.80",168.72K,-0.59%
2022年7月31日,"23,303.40","23,634.20","24,179.30","23,236.20",138.84K,-1.40%
2022年8月1日,"23,271.20","23,303.40","23,484.40","22,863.80",162.33K,-0.14%
2022年8月2日,"22,988.60","23,271.10","23,423.30","22,670.80",177.30K,-1.21%
2022年8月3日,"22,820.80","22,988.70","23,623.70","22,698.60",174.66K,-0.73%
2022年8月4日,"22,612.10","22,822.20","23,214.50","22,438.70",181.19K,-0.91%
2022年8月5日,"23,308.20","22,613.30","23,447.60","22,593.50",208.90K,3.08%
2022年8月6日,"22,944.20","23,308.20","23,344.40","22,923.60",94.44K,-1.56%
2022年8月7日,"23,175.30","22,944.20","23,387.70","22,852.30",99.36K,1.01%
2022年8月8日,"23,816.30","23,175.30","24,234.10","23,160.60",197.94K,2.77%
2022年8月9日,"23,146.70","23,818.10","23,912.00","22,886.50",169.62K,-2.81%
2022年8月10日,"23,962.90","23,150.30","24,209.90","22,714.70",243.61K,3.53%
2022年8月11日,"23,935.30","23,963.30","24,873.50","23,864.00",285.36K,-0.12%
2022年8月12日,"24,398.70","23,935.30","24,440.80","23,616.40",194.96K,1.94%
2022年8月13日,"24,442.50","24,398.90","24,882.90","24,318.70",170.59K,0.18%
2022年8月14日,"24,302.80","24,442.10","24,997.30","24,172.20",177.25K,-0.57%
2022年8月15日,"24,101.70","24,303.30","25,205.70","23,784.50",279.28K,-0.83%
2022年8月16日,"23,856.80","24,102.60","24,240.80","23,693.80",201.70K,-1.02%
2022年8月17日,"23,338.00","23,855.80","24,423.50","23,191.60",239.53K,-2.17%
2022年8月18日,"23,203.60","23,337.70","23,578.00","23,131.30",160.97K,-0.58%
